Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
23/06/2022,"2,740","2,620","2,740","2,540","29,96M","7,03%"
24/06/2022,"2,890","2,810","2,970","2,740","38,93M","5,47%"
27/06/2022,"2,690","2,910","2,910","2,630","38,03M","-6,92%"
28/06/2022,"2,520","2,710","2,730","2,510","24,50M","-6,32%"
29/06/2022,"2,550","2,520","2,599","2,480","25,16M","1,19%"
30/06/2022,"2,530","2,520","2,550","2,350","34,15M","-0,78%"
1/7/2022,"2,380","2,520","2,630","2,280","39,59M","-5,93%"
5/7/2022,"2,710","2,400","2,730","2,380","50,34M","13,87%"
6/7/2022,"2,520","2,640","2,690","2,420","33,83M","-7,01%"
7/7/2022,"2,630","2,580","2,630","2,500","25,27M","4,37%"
8/7/2022,"2,500","2,595","2,620","2,450","26,51M","-4,94%"
11/7/2022,"2,390","2,500","2,500","2,320","33,17M","-4,40%"
12/7/2022,"2,510","2,410","2,550","2,360","26,05M","5,02%"
13/07/2022,"2,500","2,410","2,610","2,410","31,97M","-0,40%"
14/07/2022,"2,480","2,430","2,545","2,400","20,02M","-0,80%"
15/07/2022,"2,490","2,540","2,540","2,390","21,03M","0,40%"
18/07/2022,"2,730","2,560","2,820","2,545","31,00M","9,64%"
19/07/2022,"2,820","2,750","2,840","2,750","17,28M","3,30%"
20/07/2022,"2,890","2,830","2,950","2,800","15,09M","2,48%"
21/07/2022,"2,930","2,920","2,970","2,830","13,27M","1,38%"
22/07/2022,"2,730","2,990","2,990","2,680","21,14M","-6,83%"
25/07/2022,"2,750","2,770","2,780","2,650","9,04M","0,73%"
26/07/2022,"2,890","2,780","2,910","2,730","13,76M","5,09%"
27/07/2022,"2,930","2,880","2,965","2,810","13,02M","1,38%"
28/07/2022,"2,970","2,910","2,980","2,870","9,75M","1,37%"
29/07/2022,"2,950","2,940","3,045","2,880","11,47M","-0,67%"
1/8/2022,"2,880","2,940","2,960","2,810","9,07M","-2,37%"
2/8/2022,"3,100","2,940","3,190","2,925","21,19M","7,64%"
3/8/2022,"3,300","3,150","3,480","3,130","28,40M","6,45%"
4/8/2022,"3,620","3,320","3,630","3,285","25,27M","9,70%"
5/8/2022,"3,810","3,530","3,845","3,515","38,81M","5,25%"
8/8/2022,"3,740","3,780","4,000","3,730","27,50M","-1,84%"
9/8/2022,"3,560","3,660","3,690","3,500","15,95M","-4,81%"
10/8/2022,"3,680","3,670","3,730","3,450","18,23M","3,37%"
11/8/2022,"3,760","3,720","3,870","3,620","19,93M","2,17%"
12/8/2022,"3,850","3,800","3,930","3,720","32,82M","2,39%"
15/08/2022,"3,770","3,810","3,920","3,700","15,31M","-2,08%"
16/08/2022,"3,660","3,760","3,760","3,560","13,92M","-2,92%"
17/08/2022,"3,570","3,575","3,740","3,525","17,86M","-2,46%"
18/08/2022,"3,510","3,510","3,540","3,430","11,34M","-1,68%"
19/08/2022,"3,440","3,480","3,540","3,390","15,55M","-1,99%"
22/08/2022,"3,400","3,360","3,480","3,310","12,54M","-1,16%"
23/08/2022,"3,470","3,340","3,490","3,325","13,86M","2,06%"
24/08/2022,"3,600","3,450","3,720","3,450","21,54M","3,75%"
25/08/2022,"3,160","3,660","3,680","2,980","47,11M","-12,22%"
26/08/2022,"3,050","3,145","3,210","2,950","37,69M","-3,48%"
29/08/2022,"2,990","2,950","3,200","2,930","25,11M","-1,97%"
30/08/2022,"3,060","3,040","3,170","3,020","35,72M","2,34%"
31/08/2022,"2,850","3,090","3,090","2,790","51,52M","-6,86%"
1/9/2022,"2,870","2,770","3,010","2,710","26,28M","0,70%"
2/9/2022,"2,960","2,890","2,990","2,805","22,49M","3,14%"
6/9/2022,"2,900","2,910","3,070","2,870","15,20M","-2,03%"
7/9/2022,"3,060","2,880","3,080","2,850","19,73M","5,52%"
8/9/2022,"3,090","2,960","3,300","2,960","31,80M","0,98%"
9/9/2022,"3,150","3,130","3,200","3,080","17,69M","1,94%"
12/9/2022,"3,380","3,150","3,470","3,150","26,62M","7,30%"
13/09/2022,"3,090","3,250","3,280","3,020","34,33M","-8,58%"
14/09/2022,"3,050","3,110","3,125","2,920","33,23M","-1,29%"
15/09/2022,"2,950","3,000","3,150","2,940","21,19M","-3,28%"
16/09/2022,"2,980","2,910","3,090","2,880","42,46M","1,02%"
19/09/2022,"3,140","2,950","3,145","2,920","17,41M","5,37%"
20/09/2022,"2,950","3,110","3,140","2,940","14,17M","-6,05%"
21/09/2022,"2,840","2,950","2,970","2,760","14,80M","-3,73%"
22/09/2022,"2,700","2,820","2,840","2,680","17,27M","-4,93%"
23/09/2022,"2,750","2,638","2,790","2,560","19,82M","1,85%"
26/09/2022,"2,810","2,750","2,890","2,740","18,26M","2,18%"
27/09/2022,"2,720","2,880","2,960","2,620","23,42M","-3,20%"
28/09/2022,"2,810","2,680","2,830","2,660","15,90M","3,31%"
29/09/2022,"2,560","2,750","2,750","2,510","20,28M","-8,90%"
30/09/2022,"2,630","2,610","2,720","2,595","12,30M","2,73%"
3/10/2022,"2,700","2,630","2,740","2,555","15,11M","2,66%"
4/10/2022,"2,920","2,770","3,080","2,750","29,55M","8,15%"
5/10/2022,"2,860","2,840","2,935","2,780","13,70M","-2,05%"
6/10/2022,"3,010","2,850","3,030","2,835","12,67M","5,24%"
7/10/2022,"2,810","2,880","3,020","2,800","20,28M","-6,64%"
10/10/2022,"2,680","2,775","2,830","2,560","14,63M","-4,63%"
11/10/2022,"2,570","2,610","2,730","2,520","18,69M","-4,10%"
12/10/2022,"2,480","2,540","2,570","2,460","11,48M","-3,50%"
13/10/2022,"2,470","2,380","2,520","2,330","14,90M","-0,40%"
14/10/2022,"2,390","2,510","2,570","2,330","16,66M","-3,24%"
17/10/2022,"2,460","2,435","2,510","2,420","10,88M","2,93%"
18/10/2022,"2,500","2,560","2,630","2,485","9,93M","1,63%"
19/10/2022,"2,380","2,430","2,460","2,360","11,07M","-4,80%"
20/10/2022,"2,380","2,350","2,490","2,330","9,86M","0,00%"
21/10/2022,"2,360","2,360","2,400","2,290","9,39M","-0,84%"
24/10/2022,"2,310","2,330","2,330","2,190","11,65M","-2,12%"
25/10/2022,"2,400","2,330","2,510","2,320","13,76M","3,90%"
26/10/2022,"2,520","2,400","2,600","2,380","10,87M","5,00%"
27/10/2022,"2,470","2,520","2,560","2,450","7,14M","-1,98%"
28/10/2022,"2,540","2,470","2,560","2,440","10,38M","2,83%"
31/10/2022,"2,600","2,530","2,650","2,500","10,85M","2,36%"
1/11/2022,"2,640","2,690","2,770","2,630","14,80M","1,54%"
2/11/2022,"2,710","2,670","2,830","2,575","20,39M","2,65%"
3/11/2022,"2,790","2,660","2,880","2,580","16,36M","2,95%"
4/11/2022,"2,830","2,850","2,930","2,700","13,24M","1,43%"
7/11/2022,"2,940","2,840","2,940","2,830","11,18M","3,89%"
8/11/2022,"2,790","2,910","2,920","2,720","10,47M","-5,10%"
9/11/2022,"2,590","2,760","2,770","2,510","13,23M","-7,17%"
10/11/2022,"2,670","2,760","2,810","2,620","13,82M","3,09%"
11/11/2022,"2,940","2,730","3,050","2,640","43,28M","10,11%"
14/11/2022,"2,960","2,960","3,045","2,860","19,41M","0,68%"
15/11/2022,"3,130","3,070","3,200","3,025","21,71M","5,74%"
16/11/2022,"3,150","3,390","3,590","3,130","56,83M","0,64%"
17/11/2022,"3,220","3,020","3,305","2,930","24,80M","2,22%"
18/11/2022,"3,210","3,200","3,280","3,150","12,81M","-0,31%"
21/11/2022,"2,970","3,120","3,205","2,940","25,70M","-7,48%"
22/11/2022,"2,910","2,960","2,965","2,840","11,41M","-2,02%"
23/11/2022,"2,950","2,900","2,980","2,860","10,03M","1,37%"
25/11/2022,"2,960","2,950","3,000","2,870","5,96M","0,34%"
28/11/2022,"2,800","2,890","2,930","2,800","10,62M","-5,41%"
29/11/2022,"2,830","2,860","2,910","2,800","11,07M","1,07%"
30/11/2022,"3,020","2,870","3,090","2,850","25,07M","6,71%"
1/12/2022,"3,070","3,000","3,150","2,970","10,16M","1,66%"
2/12/2022,"3,160","3,000","3,250","2,950","16,89M","2,93%"
5/12/2022,"3,100","3,160","3,210","3,040","18,31M","-1,90%"
6/12/2022,"3,010","3,080","3,095","2,960","14,05M","-2,90%"
7/12/2022,"2,940","2,960","3,020","2,875","17,07M","-2,33%"
8/12/2022,"3,060","2,985","3,115","2,920","10,07M","4,08%"
9/12/2022,"3,020","3,080","3,110","3,010","6,89M","-1,31%"
12/12/2022,"3,150","3,000","3,170","2,985","12,25M","4,30%"
13/12/2022,"3,220","3,290","3,320","3,175","19,96M","2,22%"
14/12/2022,"3,310","3,210","3,379","3,190","17,80M","2,80%"
15/12/2022,"3,200","3,200","3,370","3,200","18,84M","-3,32%"
16/12/2022,"3,190","3,180","3,340","3,150","18,20M","-0,31%"
19/12/2022,"3,010","3,190","3,200","3,000","8,92M","-5,64%"
20/12/2022,"2,990","3,005","3,070","2,940","9,59M","-0,66%"
21/12/2022,"3,120","2,990","3,120","2,920","9,10M","4,35%"
22/12/2022,"3,060","3,130","3,150","3,030","12,41M","-1,92%"
23/12/2022,"3,270","3,080","3,300","2,970","16,31M","6,86%"
27/12/2022,"3,300","3,220","3,330","3,180","11,49M","0,92%"
28/12/2022,"3,150","3,280","3,290","3,150","7,44M","-4,55%"
29/12/2022,"3,210","3,160","3,270","3,070","9,29M","1,90%"
30/12/2022,"3,220","3,150","3,300","3,130","5,82M","0,31%"
3/1/2023,"3,460","3,280","3,480","3,260","16,96M","7,45%"
4/1/2023,"3,500","3,500","3,555","3,360","11,77M","1,16%"
5/1/2023,"3,480","3,460","3,540","3,420","7,80M","-0,57%"
6/1/2023,"3,470","3,500","3,575","3,420","10,88M","-0,29%"
9/1/2023,"3,720","3,530","3,810","3,520","27,91M","7,20%"
10/1/2023,"3,720","3,710","3,755","3,560","14,97M","0,00%"
11/1/2023,"3,610","3,750","3,750","3,530","17,34M","-2,96%"
12/1/2023,"3,610","3,620","3,690","3,530","9,94M","0,00%"
13/01/2023,"3,580","3,550","3,625","3,520","13,63M","-0,83%"
17/01/2023,"3,970","3,735","4,030","3,710","44,30M","10,89%"
18/01/2023,"3,710","3,990","4,000","3,590","61,45M","-6,55%"
19/01/2023,"3,590","3,680","3,800","3,590","18,96M","-3,23%"
20/01/2023,"3,680","3,700","3,800","3,595","22,31M","2,51%"
23/01/2023,"3,740","3,690","3,780","3,640","12,91M","1,63%"
24/01/2023,"3,600","3,700","3,700","3,570","11,91M","-3,74%"
25/01/2023,"3,680","3,600","3,690","3,500","16,82M","2,22%"
26/01/2023,"3,630","3,745","3,840","3,590","15,75M","-1,36%"
27/01/2023,"3,710","3,630","3,770","3,610","26,02M","2,20%"
30/01/2023,"3,710","3,610","3,765","3,590","15,69M","0,00%"
31/01/2023,"3,790","3,700","3,850","3,660","14,39M","2,16%"
1/2/2023,"3,720","3,825","3,890","3,700","19,16M","-1,85%"
2/2/2023,"3,630","3,720","3,800","3,510","28,68M","-2,42%"
3/2/2023,"3,550","3,600","3,690","3,520","20,02M","-2,20%"
6/2/2023,"3,460","3,500","3,519","3,350","22,72M","-2,54%"
7/2/2023,"3,500","3,480","3,510","3,400","13,88M","1,16%"
8/2/2023,"3,610","3,550","3,710","3,520","16,73M","3,14%"
9/2/2023,"3,440","3,630","3,720","3,410","17,00M","-4,71%"
10/2/2023,"3,330","3,370","3,420","3,260","14,40M","-3,20%"
13/02/2023,"3,370","3,360","3,420","3,300","27,08M","1,20%"
14/02/2023,"3,480","3,340","3,495","3,300","19,16M","3,26%"
15/02/2023,"3,680","3,440","3,710","3,355","21,94M","5,75%"
16/02/2023,"3,670","3,630","3,730","3,560","20,08M","-0,27%"
17/02/2023,"3,480","3,650","3,690","3,430","17,61M","-5,18%"
21/02/2023,"3,400","3,470","3,520","3,380","12,43M","-2,30%"
22/02/2023,"3,500","3,450","3,550","3,350","18,95M","2,94%"
23/02/2023,"3,210","3,550","3,570","3,150","26,94M","-8,29%"
24/02/2023,"3,100","3,150","3,160","3,050","21,30M","-3,43%"
27/02/2023,"3,170","3,130","3,230","3,080","13,51M","2,26%"
28/02/2023,"3,210","3,175","3,260","3,140","12,38M","1,26%"
1/3/2023,"3,100","3,240","3,250","3,080","9,13M","-3,43%"
2/3/2023,"3,200","3,030","3,215","3,010","11,14M","3,23%"
3/3/2023,"3,280","3,170","3,310","3,170","11,08M","2,50%"
6/3/2023,"3,140","3,240","3,255","3,110","12,76M","-4,27%"
7/3/2023,"3,110","3,110","3,200","3,100","12,31M","-0,96%"
8/3/2023,"3,160","3,130","3,170","3,030","9,26M","1,61%"
9/3/2023,"2,990","3,120","3,185","2,970","16,91M","-5,38%"
10/3/2023,"2,850","2,970","2,990","2,805","15,45M","-4,68%"
13/03/2023,"2,860","2,780","2,920","2,760","11,14M","0,35%"
14/03/2023,"2,910","2,930","2,990","2,870","11,65M","1,75%"
15/03/2023,"2,850","2,850","2,880","2,810","6,69M","-2,06%"
16/03/2023,"2,840","2,840","2,870","2,750","16,02M","-0,35%"
17/03/2023,"2,860","2,860","2,880","2,760","13,46M","0,70%"
20/03/2023,"2,790","2,790","2,860","2,750","7,65M","-2,45%"
21/03/2023,"2,870","2,800","2,965","2,790","10,51M","2,87%"
22/03/2023,"2,780","2,870","2,895","2,770","7,48M","-3,14%"
23/03/2023,"2,750","2,810","2,900","2,725","17,04M","-1,08%"
24/03/2023,"2,680","2,740","2,780","2,650","16,27M","-2,55%"
27/03/2023,"2,770","2,760","2,770","2,690","9,58M","3,36%"
28/03/2023,"2,850","2,790","2,880","2,790","10,82M","2,89%"
29/03/2023,"3,020","2,905","3,060","2,880","16,06M","5,96%"
30/03/2023,"2,850","3,030","3,140","2,825","20,96M","-5,63%"
31/03/2023,"3,010","2,890","3,100","2,870","17,12M","5,61%"
3/4/2023,"3,090","3,040","3,140","2,990","17,69M","2,66%"
4/4/2023,"3,150","3,140","3,260","3,130","22,44M","1,94%"
5/4/2023,"3,120","3,150","3,280","3,030","12,06M","-0,95%"
6/4/2023,"3,030","3,080","3,095","2,980","16,31M","-2,88%"
10/4/2023,"3,060","3,000","3,110","2,990","7,27M","0,99%"
11/4/2023,"2,980","3,060","3,110","2,950","13,23M","-2,61%"
12/4/2023,"2,990","3,010","3,090","2,960","15,16M","0,34%"
13/04/2023,"3,020","3,050","3,100","3,010","8,42M","1,00%"
14/04/2023,"2,940","3,010","3,030","2,880","13,30M","-2,65%"
17/04/2023,"2,970","2,970","3,010","2,940","8,30M","1,02%"
18/04/2023,"2,990","3,000","3,050","2,930","13,75M","0,67%"
19/04/2023,"3,050","2,960","3,079","2,915","12,18M","2,01%"
20/04/2023,"3,010","3,015","3,095","2,980","9,76M","-1,31%"
21/04/2023,"2,930","3,040","3,040","2,880","17,31M","-2,66%"
24/04/2023,"2,920","2,960","2,990","2,920","5,06M","-0,34%"
25/04/2023,"2,770","2,890","2,890","2,760","10,18M","-5,14%"
26/04/2023,"2,760","2,830","2,835","2,730","13,67M","-0,36%"
27/04/2023,"2,790","2,800","2,800","2,730","12,16M","1,09%"
28/04/2023,"2,910","2,770","2,965","2,765","11,32M","4,30%"
1/5/2023,"2,940","2,910","2,955","2,880","4,50M","1,03%"
2/5/2023,"2,940","2,970","3,000","2,900","8,59M","0,00%"
3/5/2023,"2,870","2,920","2,980","2,850","13,47M","-2,38%"
4/5/2023,"2,980","2,860","2,980","2,850","9,29M","3,83%"
5/5/2023,"3,020","3,000","3,090","2,985","10,10M","1,34%"
8/5/2023,"3,340","3,050","3,400","3,050","29,93M","10,60%"
9/5/2023,"3,190","3,330","3,330","3,170","23,46M","-4,49%"
10/5/2023,"3,190","3,250","3,290","3,140","12,07M","0,00%"
11/5/2023,"3,210","3,210","3,280","3,180","20,31M","0,63%"
12/5/2023,"3,170","3,220","3,280","3,110","13,07M","-1,25%"
15/05/2023,"3,280","3,140","3,300","3,120","12,09M","3,47%"
16/05/2023,"3,160","3,230","3,265","3,130","16,91M","-3,66%"
17/05/2023,"3,220","3,110","3,230","3,100","18,13M","1,90%"
18/05/2023,"2,745","3,110","3,130","2,670","79,57M","-14,75%"
19/05/2023,"2,755","2,850","2,980","2,750","37,20M","0,36%"
22/05/2023,"3,060","2,800","3,100","2,760","37,36M","11,07%"
23/05/2023,"3,010","3,030","3,125","2,950","20,45M","-1,63%"
24/05/2023,"3,050","2,940","3,080","2,930","17,35M","1,33%"
25/05/2023,"3,000","3,010","3,075","2,950","18,26M","-1,64%"
26/05/2023,"3,040","3,000","3,100","2,970","12,48M","1,33%"
30/05/2023,"2,920","3,070","3,105","2,880","20,85M","-3,95%"
31/05/2023,"2,980","2,910","3,010","2,850","96,85M","2,05%"
1/6/2023,"2,980","2,970","3,000","2,880","16,15M","0,00%"
2/6/2023,"3,020","3,020","3,060","3,000","8,37M","1,34%"
5/6/2023,"3,110","3,010","3,130","3,010","10,56M","2,98%"
6/6/2023,"3,230","3,100","3,250","3,090","13,03M","3,86%"
7/6/2023,"3,240","3,200","3,270","3,170","10,62M","0,31%"
8/6/2023,"3,400","3,200","3,400","3,170","14,57M","4,94%"
9/6/2023,"3,440","3,390","3,500","3,370","22,90M","1,18%"
12/6/2023,"3,440","3,410","3,490","3,400","10,30M","0,00%"
13/06/2023,"3,450","3,460","3,580","3,400","27,01M","0,29%"
14/06/2023,"3,400","3,500","3,500","3,320","14,02M","-1,45%"
15/06/2023,"3,440","3,380","3,500","3,360","12,06M","1,18%"
16/06/2023,"3,420","3,450","3,490","3,400","23,69M","-0,58%"
20/06/2023,"3,380","3,510","3,520","3,340","15,72M","-1,17%"
21/06/2023,"3,390","3,370","3,410","3,310","12,40M","0,30%"
22/06/2023,"3,330","3,400","3,410","3,320","7,50M","-1,77%"
23/06/2023,"3,200","3,270","3,280","3,150","19,44M","-3,90%"
26/06/2023,"3,200","3,190","3,300","3,140","11,12M","0,00%"
27/06/2023,"3,270","3,230","3,360","3,220","11,00M","2,19%"
28/06/2023,"3,250","3,250","3,280","3,210","12,09M","-0,61%"
29/06/2023,"3,390","3,230","3,390","3,220","9,94M","4,31%"
30/06/2023,"3,430","3,390","3,440","3,350","10,69M","1,18%"
3/7/2023,"3,430","3,460","3,500","3,400","8,22M","0,00%"
5/7/2023,"3,430","3,351","3,460","3,330","8,42M","0,00%"
6/7/2023,"3,320","3,370","3,380","3,260","12,23M","-3,21%"
7/7/2023,"3,320","3,320","3,370","3,255","8,67M","0,00%"
10/7/2023,"3,450","3,285","3,460","3,220","13,16M","3,92%"
11/7/2023,"3,560","3,470","3,578","3,350","19,39M","3,19%"
12/7/2023,"3,670","3,600","3,710","3,570","16,14M","3,09%"
13/07/2023,"3,700","3,700","3,780","3,630","15,68M","0,82%"
14/07/2023,"3,620","3,700","3,750","3,580","18,27M","-2,16%"
17/07/2023,"3,620","3,610","3,770","3,565","28,38M","0,00%"
18/07/2023,"3,510","3,640","3,680","3,490","40,37M","-3,04%"
19/07/2023,"3,510","3,550","3,620","3,440","22,57M","0,00%"
20/07/2023,"3,640","3,540","3,650","3,520","25,18M","3,70%"
21/07/2023,"3,600","3,650","3,700","3,560","18,77M","-1,10%"
24/07/2023,"3,600","3,600","3,640","3,530","13,39M","0,00%"
25/07/2023,"3,570","3,660","3,710","3,560","23,50M","-0,83%"
26/07/2023,"3,650","3,610","3,700","3,590","14,17M","2,24%"
27/07/2023,"3,610","3,740","3,750","3,580","17,92M","-1,10%"
28/07/2023,"3,760","3,695","3,770","3,690","18,08M","4,16%"
31/07/2023,"3,830","3,790","3,920","3,775","13,02M","1,86%"
1/8/2023,"3,800","3,750","3,880","3,730","11,79M","-0,78%"
2/8/2023,"3,660","3,710","3,755","3,630","19,07M","-3,68%"
3/8/2023,"3,670","3,640","3,705","3,625","9,91M","0,27%"
4/8/2023,"3,580","3,660","3,700","3,580","9,73M","-2,45%"
7/8/2023,"3,590","3,670","3,670","3,471","12,24M","0,28%"
8/8/2023,"3,640","3,510","3,650","3,500","9,26M","1,39%"
9/8/2023,"3,570","3,650","3,685","3,560","13,48M","-1,92%"
10/8/2023,"3,570","3,640","3,640","3,520","19,10M","0,00%"
11/8/2023,"3,500","3,530","3,550","3,430","17,33M","-1,96%"
14/08/2023,"3,490","3,430","3,520","3,350","17,33M","-0,29%"
15/08/2023,"3,400","3,390","3,450","3,360","15,84M","-2,58%"
16/08/2023,"3,300","3,291","3,360","3,280","18,49M","-2,94%"
17/08/2023,"3,260","3,300","3,318","3,230","14,01M","-1,21%"
18/08/2023,"3,240","3,130","3,280","3,120","14,51M","-0,61%"
21/08/2023,"3,270","3,240","3,320","3,205","18,50M","0,93%"
22/08/2023,"3,340","3,300","3,370","3,290","25,48M","2,14%"
23/08/2023,"3,700","3,490","3,760","3,480","44,22M","10,78%"
24/08/2023,"3,660","3,750","3,765","3,650","20,52M","-1,08%"
25/08/2023,"3,700","3,650","3,740","3,600","16,98M","1,09%"
28/08/2023,"3,690","3,690","3,740","3,640","23,65M","-0,27%"
29/08/2023,"3,770","3,670","3,820","3,670","17,63M","2,17%"
30/08/2023,"3,740","3,740","3,860","3,720","28,82M","-0,80%"
31/08/2023,"3,770","3,750","3,780","3,650","31,97M","0,80%"
1/9/2023,"3,830","3,770","3,880","3,760","22,36M","1,59%"
5/9/2023,"3,810","3,780","3,880","3,700","15,54M","-0,52%"
6/9/2023,"3,680","3,750","3,800","3,660","20,40M","-3,41%"
7/9/2023,"3,730","3,620","3,770","3,590","17,50M","1,36%"
8/9/2023,"3,720","3,680","3,730","3,620","13,44M","-0,27%"
11/9/2023,"3,740","3,750","3,800","3,710","13,87M","0,54%"
12/9/2023,"3,790","3,770","3,820","3,750","17,66M","1,34%"
13/09/2023,"3,530","3,440","3,590","3,440","86,29M","-6,86%"
14/09/2023,"3,510","3,590","3,590","3,480","18,10M","-0,57%"
15/09/2023,"3,550","3,560","3,590","3,510","14,33M","1,14%"
18/09/2023,"3,530","3,550","3,590","3,500","12,39M","-0,56%"
19/09/2023,"3,490","3,500","3,520","3,460","21,92M","-1,13%"
20/09/2023,"3,460","3,500","3,545","3,410","13,64M","-0,86%"
21/09/2023,"3,460","3,450","3,460","3,380","13,79M","0,00%"
22/09/2023,"3,430","3,480","3,510","3,425","8,71M","-0,87%"
25/09/2023,"3,430","3,430","3,470","3,385","10,99M","0,00%"
26/09/2023,"3,400","3,380","3,450","3,360","11,46M","-0,87%"
27/09/2023,"3,380","3,400","3,460","3,360","20,92M","-0,59%"
28/09/2023,"3,470","3,380","3,490","3,360","14,48M","2,66%"
29/09/2023,"3,540","3,520","3,590","3,520","15,58M","2,02%"
2/10/2023,"3,480","3,490","3,570","3,460","19,85M","-1,69%"
3/10/2023,"3,350","3,480","3,480","3,330","27,37M","-3,74%"
4/10/2023,"3,400","3,320","3,410","3,230","18,22M","1,49%"
5/10/2023,"3,480","3,370","3,500","3,370","16,90M","2,35%"
6/10/2023,"3,500","3,450","3,520","3,445","9,39M","0,57%"
9/10/2023,"3,440","3,470","3,480","3,380","13,51M","-1,71%"
10/10/2023,"3,530","3,510","3,570","3,500","11,49M","2,62%"
11/10/2023,"3,490","3,510","3,550","3,480","10,96M","-1,13%"
12/10/2023,"3,470","3,540","3,560","3,410","13,22M","-0,57%"
13/10/2023,"3,420","3,440","3,460","3,360","25,48M","-1,44%"
16/10/2023,"3,420","3,400","3,460","3,370","22,88M","0,00%"
17/10/2023,"3,430","3,390","3,460","3,380","12,00M","0,29%"
18/10/2023,"3,330","3,400","3,450","3,320","10,50M","-2,92%"
19/10/2023,"3,300","3,290","3,330","3,260","14,67M","-0,90%"
20/10/2023,"3,270","3,260","3,280","3,220","15,94M","-0,91%"
23/10/2023,"3,250","3,210","3,270","3,180","22,94M","-0,61%"
24/10/2023,"3,280","3,270","3,330","3,250","12,83M","0,92%"
25/10/2023,"3,200","3,250","3,260","3,150","20,35M","-2,44%"
26/10/2023,"3,080","3,170","3,195","3,065","24,54M","-3,75%"
27/10/2023,"3,030","3,100","3,110","3,010","20,55M","-1,62%"
30/10/2023,"3,100","3,090","3,110","3,045","11,15M","2,31%"
31/10/2023,"3,070","3,100","3,110","3,030","14,90M","-0,97%"
1/11/2023,"3,050","3,070","3,100","3,000","15,14M","-0,65%"
2/11/2023,"3,130","3,111","3,170","3,090","15,30M","2,62%"
3/11/2023,"3,160","3,210","3,220","3,140","20,09M","0,96%"
6/11/2023,"3,140","3,240","3,249","3,085","25,31M","-0,63%"
7/11/2023,"3,170","3,150","3,220","3,125","21,38M","0,96%"
8/11/2023,"3,190","3,160","3,207","3,121","20,37M","0,63%"
9/11/2023,"3,290","3,380","3,400","3,225","26,81M","3,13%"
10/11/2023,"3,270","3,310","3,310","3,240","17,43M","-0,61%"
13/11/2023,"3,330","3,260","3,410","3,220","22,34M","1,83%"
14/11/2023,"3,320","3,350","3,400","3,245","23,28M","-0,30%"
15/11/2023,"3,420","3,330","3,440","3,330","19,08M","3,01%"
16/11/2023,"3,290","3,388","3,388","3,220","28,92M","-3,80%"
17/11/2023,"3,310","3,280","3,340","3,220","19,52M","0,61%"
20/11/2023,"3,230","3,310","3,310","3,210","24,87M","-2,42%"
21/11/2023,"3,130","3,200","3,210","3,110","22,85M","-3,10%"
22/11/2023,"3,130","3,160","3,200","3,110","15,36M","0,00%"
24/11/2023,"3,120","3,090","3,130","3,081","8,02M","-0,32%"
27/11/2023,"3,060","3,100","3,140","3,060","17,62M","-1,92%"
28/11/2023,"3,050","3,060","3,150","3,040","15,26M","-0,33%"
29/11/2023,"3,080","3,080","3,110","3,060","16,14M","0,98%"
30/11/2023,"3,040","3,020","3,094","3,000","50,51M","-1,30%"
1/12/2023,"3,070","3,040","3,120","3,040","23,32M","0,99%"
4/12/2023,"3,150","3,090","3,185","3,080","25,40M","2,61%"
5/12/2023,"3,140","3,120","3,165","3,100","18,19M","-0,32%"
6/12/2023,"3,090","3,150","3,180","3,080","25,81M","-1,59%"
7/12/2023,"3,110","3,080","3,130","3,050","18,72M","0,65%"
8/12/2023,"3,150","3,130","3,150","3,110","24,99M","1,29%"
11/12/2023,"3,080","3,125","3,160","3,070","12,92M","-2,22%"
12/12/2023,"3,070","3,080","3,110","3,030","13,43M","-0,32%"
13/12/2023,"3,140","3,090","3,140","3,055","19,79M","2,28%"
14/12/2023,"3,140","3,190","3,230","3,100","32,66M","0,00%"
15/12/2023,"3,150","3,190","3,190","3,100","23,48M","0,32%"
18/12/2023,"3,160","3,140","3,180","3,130","16,35M","0,32%"
19/12/2023,"3,250","3,170","3,267","3,160","30,85M","2,85%"
20/12/2023,"3,170","3,280","3,290","3,160","17,31M","-2,46%"
21/12/2023,"3,260","3,200","3,280","3,170","23,87M","2,84%"
22/12/2023,"3,220","3,260","3,270","3,200","12,11M","-1,23%"
26/12/2023,"3,260","3,220","3,260","3,190","7,90M","1,24%"
27/12/2023,"3,270","3,300","3,330","3,250","7,65M","0,31%"
28/12/2023,"3,250","3,300","3,340","3,230","16,69M","-0,61%"
29/12/2023,"3,370","3,290","3,400","3,270","17,70M","3,69%"
2/1/2024,"3,300","3,370","3,370","3,260","18,98M","-2,08%"
3/1/2024,"3,285","3,230","3,300","3,190","26,47M","-0,45%"
4/1/2024,"3,250","3,240","3,290","3,240","14,18M","-1,07%"
5/1/2024,"3,270","3,220","3,320","3,170","13,29M","0,62%"
8/1/2024,"3,360","3,230","3,370","3,200","18,02M","2,75%"
9/1/2024,"3,330","3,320","3,380","3,320","17,68M","-0,89%"
10/1/2024,"3,320","3,290","3,330","3,270","9,74M","-0,30%"
11/1/2024,"3,250","3,280","3,330","3,220","12,94M","-2,11%"
12/1/2024,"3,210","3,220","3,280","3,200","14,19M","-1,23%"
16/01/2024,"3,090","3,200","3,200","3,070","20,16M","-3,74%"
